,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
82451,STU182451,Neha Nair,Male,30,Bachelor,Student,Bengaluru,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,30,42.9,2,9.8,5,5,9.2,7,3,3,98.4,100.0,62.0,3,15-11-2024,Scholarship,No,No,1249,62,3,1,4.4,Not Completed,1,0,2,0,0,1,2,4
82452,STU182452,Krishna Shah,Male,28,HighSchool,Employed,Lucknow,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,1,28,40.4,0,5.2,11,3,8.7,5,5,2,76.2,59.0,47.1,1,23-12-2023,UPI,Yes,No,3949,49,4,0,5.0,Completed,1,2,0,0,2,1,1,5
82453,STU182453,Isha Patel,Female,28,Bachelor,Employed,Ahmedabad,Mobile,Low,C108,Excel for Business,Business,Beginner,25,4.1,8,26,72.2,3,0.5,2,3,7.0,6,4,6,65.0,69.7,64.7,4,08-05-2025,NetBanking,Yes,No,3574,100,2,1,2.8,Completed,0,0,0,1,1,1,0,3
82454,STU182454,Vihaan Bose,Female,33,HighSchool,Student,Lucknow,Laptop,High,C101,Python Basics,Programming,Beginner,45,4.6,4,16,74.0,4,0.5,5,3,6.6,8,2,6,63.0,77.8,77.8,3,09-04-2024,Debit Card,Yes,No,4667,50,3,0,4.9,Completed,0,2,2,0,0,1,4,1
82455,STU182455,Pooja Singh,Male,21,Diploma,Student,Chennai,Laptop,Low,C108,Excel for Business,Business,Beginner,25,4.1,4,35,45.7,1,2.1,4,9,4.7,5,5,6,64.7,88.4,50.4,3,09-03-2025,Free,No,Yes,0,63,2,0,4.0,Completed,1,1,2,0,1,1,0,2
82456,STU182456,Rohan Verma,Female,26,Master,Employed,Mumbai,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,8,27,87.7,0,9.4,0,3,8.9,6,4,3,86.0,59.8,69.7,2,16-07-2024,Scholarship,No,No,1853,90,0,2,2.7,Completed,0,3,0,1,2,1,4,4
82457,STU182457,Meera Kumar,Female,25,Bachelor,Employed,Hyderabad,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,39,72.2,2,2.2,0,2,6.2,4,6,3,70.9,64.8,52.5,0,20-10-2024,Free,No,No,0,45,2,0,3.9,Completed,0,0,0,1,2,2,4,2
82458,STU182458,Rohan Kumar,Female,27,Bachelor,Student,Ahmedabad,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,9,54,57.6,3,18.2,5,8,7.1,5,5,7,82.1,82.1,54.3,0,13-07-2024,Free,No,No,0,51,1,0,4.2,Not Completed,0,0,2,0,0,2,4,2
82459,STU182459,Rahul Nair,Female,32,Master,Student,Jaipur,Laptop,Medium,C101,Python Basics,Programming,Beginner,45,4.6,5,26,76.9,2,4.3,26,4,8.1,7,3,5,91.6,71.5,72.5,5,05-01-2024,UPI,Yes,Yes,3807,81,5,0,4.2,Completed,0,3,2,0,2,1,4,5
82460,STU182460,Ananya Mehta,Female,26,HighSchool,Employed,Kolkata,Mobile,Low,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,27,81.7,1,0.5,13,5,7.2,4,6,4,100.0,54.2,55.3,6,18-12-2023,UPI,Yes,No,3335,96,3,0,4.2,Not Completed,0,2,0,1,1,1,2,5
