,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
51967,STU151967,Sakshi Joshi,Female,35,Bachelor,Student,Nagpur,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,29,86.1,0,0.5,2,4,4.1,9,1,7,83.1,68.9,87.6,2,22-09-2025,Free,No,No,0,61,2,0,4.2,Completed,0,0,2,1,2,0,4,2
51968,STU151968,Rahul Bhardwaj,Female,32,Bachelor,Student,Lucknow,Tablet,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,29,80.0,2,9.0,1,6,9.9,4,6,3,74.3,89.2,56.4,3,16-07-2024,Free,No,No,0,68,2,0,3.8,Not Completed,0,0,2,2,0,2,4,2
51969,STU151969,Vivaan Mehta,Female,32,Master,Self-Employed,Mumbai,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,32,96.2,1,2.4,8,5,7.4,3,7,4,86.3,83.1,55.8,5,25-10-2024,Credit Card,Yes,No,3570,85,4,0,3.7,Completed,0,3,1,1,2,1,2,0
51970,STU151970,Priya Patel,Male,24,Diploma,Student,Bhopal,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,30,69.0,4,0.5,4,7,4.1,4,6,5,55.6,92.3,52.8,0,03-10-2025,UPI,Yes,No,5112,95,1,3,5.0,Not Completed,1,1,2,1,2,2,4,5
51971,STU151971,Vihaan Gupta,Male,34,Master,Employed,Nagpur,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,40,7.9,3,0.5,13,3,6.1,7,3,6,72.3,81.8,48.9,1,26-05-2024,Scholarship,No,No,855,66,4,0,3.6,Completed,1,3,0,1,2,1,2,4
51972,STU151972,Ananya Iyer,Female,22,Diploma,Student,Kolkata,Tablet,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,3,41,13.8,4,0.5,2,7,3.0,1,9,2,71.4,83.2,15.0,2,22-03-2025,UPI,Yes,No,4468,36,3,1,4.9,Not Completed,0,1,2,2,2,2,3,5
51973,STU151973,Isha Sharma,Female,36,Bachelor,Self-Employed,Indore,Mobile,Low,C101,Python Basics,Programming,Beginner,45,4.6,2,30,59.6,3,4.2,12,4,6.6,5,5,4,75.7,97.4,55.7,3,12-02-2024,NetBanking,Yes,No,4078,45,5,0,3.6,Completed,0,0,1,1,1,1,4,3
51974,STU151974,Pooja Joshi,Female,28,Master,Student,Bhopal,Mobile,Low,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,35,65.7,2,0.6,11,5,4.6,3,7,2,58.0,54.1,43.7,1,03-01-2025,UPI,Yes,No,4618,72,1,0,4.8,Completed,0,3,2,1,1,2,4,5
51975,STU151975,Sai Mehta,Female,26,HighSchool,Employed,Bhopal,Mobile,High,C108,Excel for Business,Business,Beginner,25,4.1,3,17,75.1,2,0.5,8,6,4.9,7,3,5,77.6,51.0,70.8,0,17-06-2024,UPI,Yes,No,3436,69,0,2,5.0,Not Completed,0,2,0,1,0,1,0,5
51976,STU151976,Isha Sharma,Female,30,Bachelor,Student,Ahmedabad,Mobile,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,39,32.2,0,3.5,5,3,6.6,5,5,8,55.4,83.4,45.4,4,22-12-2023,UPI,Yes,No,5910,87,1,1,5.0,Completed,0,0,2,1,2,2,4,5
