,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
73303,STU173303,Rohan Desai,Female,20,Diploma,Employed,Lucknow,Laptop,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,46,78.8,2,6.3,2,4,4.4,5,5,0,62.8,73.3,61.2,1,17-04-2024,UPI,Yes,No,5566,54,1,0,3.7,Completed,0,1,0,0,2,2,4,5
73304,STU173304,Rohan Nair,Female,17,Bachelor,Student,Delhi,Mobile,High,C108,Excel for Business,Business,Beginner,25,4.1,6,49,50.9,3,7.3,2,7,6.7,6,4,8,78.2,71.1,57.4,1,19-06-2025,UPI,Yes,No,3119,86,3,0,3.7,Completed,0,0,2,1,0,1,0,5
73305,STU173305,Meera Patel,Male,17,Bachelor,Employed,Hyderabad,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,6,27,79.7,2,7.1,14,8,6.1,2,8,3,91.2,74.4,43.6,5,11-09-2024,UPI,Yes,No,6958,73,3,1,3.4,Completed,1,0,0,1,2,0,4,5
73306,STU173306,Sneha Gupta,Male,21,HighSchool,Employed,Bengaluru,Mobile,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,5,42,16.8,5,0.5,26,4,1.9,6,4,3,100.0,73.2,45.5,2,03-06-2025,Credit Card,Yes,No,5930,73,2,2,2.6,Completed,1,2,0,1,1,0,4,0
73307,STU173307,Aditya Iyer,Other,27,Bachelor,Employed,Vadodara,Laptop,High,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,17,65.8,2,6.5,5,3,9.0,4,5,1,80.2,97.7,51.9,3,20-08-2025,UPI,Yes,Yes,3002,100,2,0,4.3,Not Completed,2,0,0,0,0,1,2,5
73308,STU173308,Vivaan Bose,Female,17,Bachelor,Unemployed,Lucknow,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,9,29,83.4,2,5.3,1,5,9.0,3,7,3,76.9,53.9,49.9,3,12-05-2024,Debit Card,Yes,No,4396,72,2,0,4.7,Not Completed,0,0,3,1,2,1,4,1
73309,STU173309,Sai Iyer,Male,30,PhD,Employed,Hyderabad,Mobile,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,4,28,69.2,0,5.2,0,3,7.5,5,5,6,90.7,73.9,57.9,0,20-01-2024,Scholarship,No,No,688,55,2,3,3.9,Completed,1,4,0,1,0,2,4,4
73310,STU173310,Meera Nair,Male,23,Bachelor,Student,Vadodara,Mobile,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,1,16,60.7,2,0.5,6,2,3.3,3,7,4,70.9,45.3,41.5,5,12-04-2025,Credit Card,Yes,No,3818,62,1,1,5.0,Not Completed,1,0,2,1,2,1,1,0
73311,STU173311,Ritika Reddy,Male,26,Bachelor,Student,Indore,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,7,60,88.8,1,6.8,6,7,7.3,7,3,3,77.9,79.7,77.1,3,27-07-2025,Debit Card,Yes,No,3563,87,3,1,4.1,Completed,1,0,2,0,2,1,0,1
73312,STU173312,Priya Kumar,Female,31,HighSchool,Employed,Ahmedabad,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,39,56.1,1,6.0,0,5,6.2,6,4,2,71.7,89.8,60.1,2,19-03-2024,NetBanking,Yes,Yes,2748,65,2,0,5.0,Not Completed,0,2,0,1,2,1,2,3
73313,STU173313,Ritika Patel,Female,17,Bachelor,Employed,Lucknow,Mobile,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,7,21,40.4,2,1.5,20,3,5.5,4,6,2,70.9,69.9,41.6,1,20-07-2024,UPI,Yes,Yes,3236,58,4,1,3.2,Not Completed,0,0,0,1,2,1,1,5
73314,STU173314,Ritika Singh,Male,25,Master,Student,Bengaluru,Mobile,Medium,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,5,38,69.7,3,0.5,6,4,10.0,2,8,3,44.3,70.0,39.9,3,18-11-2023,Credit Card,Yes,No,6611,63,0,1,4.5,Not Completed,1,3,2,1,2,0,4,0
73315,STU173315,Rahul Bhardwaj,Male,20,Diploma,Student,Mumbai,Mobile,High,C107,Statistics for Data Science,Math,Intermediate,50,4.2,9,50,64.1,4,10.8,14,4,5.2,4,6,8,50.8,56.6,49.3,1,11-09-2025,Scholarship,No,No,286,78,4,0,4.6,Completed,1,1,2,1,0,2,3,4
73316,STU173316,Priya Iyer,Female,20,Bachelor,Student,Chennai,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,9,46,14.0,4,1.6,7,5,2.5,5,4,3,61.6,64.8,38.1,1,05-07-2025,NetBanking,Yes,No,6734,100,1,2,5.0,Not Completed,0,0,2,1,0,0,4,3
73317,STU173317,Aarav Bhardwaj,Female,27,Bachelor,Employed,Bengaluru,Laptop,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,7,31,72.9,1,8.9,1,5,4.3,2,8,1,79.1,44.8,39.8,3,09-08-2025,NetBanking,Yes,Yes,3516,99,2,2,3.5,Not Completed,0,0,0,0,2,1,1,3
73318,STU173318,Vihaan Iyer,Female,24,Bachelor,Student,Jaipur,Mobile,Low,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,3,41,61.4,0,2.9,6,3,2.4,7,3,1,70.5,39.5,65.5,1,06-06-2024,Credit Card,Yes,Yes,2941,68,1,1,3.1,Completed,0,0,2,1,1,1,2,0
73319,STU173319,Rahul Bose,Male,17,Master,Employed,Mumbai,Tablet,High,C101,Python Basics,Programming,Beginner,45,4.6,3,52,82.1,2,12.6,13,5,4.7,4,6,4,70.7,70.4,56.2,1,25-01-2025,Free,No,No,0,81,0,1,5.0,Completed,1,3,0,2,0,1,4,2
73320,STU173320,Rahul Reddy,Female,19,Diploma,Employed,Jaipur,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,4,41,56.9,0,0.7,8,3,4.1,5,5,0,75.2,36.8,51.8,2,20-11-2024,UPI,Yes,No,3639,84,2,0,4.1,Completed,0,1,0,1,2,1,2,5
73321,STU173321,Rohan Reddy,Female,25,Bachelor,Self-Employed,Hyderabad,Laptop,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,23,95.2,3,4.2,2,9,7.8,5,5,3,65.8,71.2,66.9,1,25-05-2024,UPI,Yes,No,6143,48,1,1,4.0,Not Completed,0,0,1,0,0,2,4,5
73322,STU173322,Sneha Kumar,Female,18,Master,Student,Ahmedabad,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,34,75.5,4,0.5,2,10,5.8,5,5,7,66.7,76.5,60.3,1,11-07-2025,Credit Card,Yes,No,5372,40,0,1,3.4,Not Completed,0,3,2,0,0,2,4,0
73323,STU173323,Priya Kumar,Male,22,Bachelor,Student,Hyderabad,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,24,52.9,1,0.5,12,7,5.0,4,5,6,62.9,72.7,46.1,3,10-05-2024,Scholarship,No,Yes,1861,86,1,1,4.0,Completed,1,0,2,0,0,2,4,4
73324,STU173324,Vihaan Patel,Male,25,Master,Student,Bhopal,Mobile,High,C101,Python Basics,Programming,Beginner,45,4.6,6,30,73.7,2,0.5,11,7,6.5,4,6,5,65.2,61.2,52.8,6,24-11-2024,NetBanking,Yes,No,4623,82,3,1,3.0,Completed,1,3,2,1,0,1,4,3
73325,STU173325,Priya Verma,Female,29,Master,Employed,Chennai,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,22,81.0,4,8.4,14,2,7.3,6,4,3,75.0,80.2,68.3,0,21-09-2025,UPI,Yes,Yes,4419,81,1,2,4.7,Not Completed,0,3,0,1,0,2,4,5
73326,STU173326,Sakshi Kumar,Male,20,Diploma,Employed,Delhi,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,5,22,80.3,3,0.5,10,8,4.9,3,7,3,63.1,70.7,49.6,1,18-04-2024,Free,No,No,0,70,2,1,2.9,Completed,1,1,0,1,0,0,4,2
73327,STU173327,Meera Desai,Male,30,PhD,Employed,Delhi,Mobile,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,38,51.0,5,2.3,7,6,5.1,4,6,2,58.2,58.3,44.8,2,15-03-2024,Credit Card,Yes,No,6752,56,0,0,3.3,Not Completed,1,4,0,1,0,0,4,0
73328,STU173328,Sai Mehta,Female,21,Diploma,Self-Employed,Lucknow,Tablet,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,12,45.8,5,2.5,0,5,3.7,4,6,3,58.1,63.9,43.2,3,12-05-2024,UPI,Yes,No,5336,69,2,1,4.8,Not Completed,0,1,1,2,0,2,4,5
73329,STU173329,Ananya Patel,Male,20,Master,Student,Hyderabad,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,19,74.4,4,6.8,6,5,8.4,4,6,2,73.0,59.9,53.0,2,20-02-2025,Credit Card,Yes,No,4979,99,3,0,5.0,Completed,1,3,2,1,2,2,4,0
73330,STU173330,Aditya Reddy,Female,29,PhD,Employed,Mumbai,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,2,42,44.1,3,0.5,13,5,5.7,5,5,7,85.2,88.6,49.9,2,25-05-2025,Debit Card,Yes,Yes,2720,40,1,0,5.0,Completed,0,4,0,1,2,1,2,1
73331,STU173331,Nikhil Singh,Male,19,Master,Employed,Ahmedabad,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,2,52,63.3,1,0.5,7,11,7.7,6,4,5,82.4,90.0,62.7,5,10-02-2024,Scholarship,No,No,2031,69,1,3,4.3,Completed,1,3,0,0,0,2,4,4
