,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
21276,STU121276,Aditya Iyer,Male,17,Master,Student,Vadodara,Mobile,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,41,66.7,3,0.5,0,9,2.6,4,6,9,100.0,79.6,51.3,1,07-08-2024,Credit Card,Yes,No,6094,96,2,0,5.0,Completed,1,3,2,1,2,2,4,0
21277,STU121277,Sakshi Mehta,Male,40,Bachelor,Employed,Vadodara,Mobile,High,C108,Excel for Business,Business,Beginner,25,4.1,3,36,82.8,3,0.5,3,6,4.5,2,8,3,82.6,26.1,42.3,1,26-11-2023,Scholarship,No,No,744,96,4,0,3.7,Completed,1,0,0,1,0,1,0,4
21278,STU121278,Sakshi Sharma,Male,28,Bachelor,Employed,Pune,Laptop,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,39,43.8,2,3.2,12,4,3.2,7,3,4,63.6,53.9,60.0,2,06-03-2025,Debit Card,Yes,No,4794,47,2,0,5.0,Not Completed,1,0,0,0,2,2,4,1
21279,STU121279,Kavya Verma,Male,26,Bachelor,Employed,Bhopal,Mobile,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,8,40,53.4,1,10.9,9,5,5.5,5,5,4,68.3,48.8,51.1,2,05-03-2024,NetBanking,Yes,No,5624,92,6,1,3.5,Completed,1,0,0,1,1,2,4,3
21280,STU121280,Sakshi Verma,Female,22,Bachelor,Student,Surat,Laptop,Low,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,2,53,77.9,3,0.5,11,3,5.7,6,4,8,73.9,67.9,66.7,2,11-12-2023,UPI,Yes,Yes,2839,46,1,0,5.0,Completed,0,0,2,0,1,1,2,5
21281,STU121281,Ananya Joshi,Female,31,Bachelor,Employed,Pune,Mobile,Medium,C107,Statistics for Data Science,Math,Intermediate,50,4.2,7,55,33.9,3,4.3,4,2,6.2,6,3,3,65.8,100.0,52.9,6,18-09-2025,UPI,Yes,No,4675,76,2,0,4.7,Not Completed,0,0,0,1,2,2,3,5
21282,STU121282,Arjun Bose,Female,17,Bachelor,Student,Bhopal,Mobile,Low,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,7,30,66.3,1,4.5,4,3,7.2,6,4,6,100.0,90.8,63.8,0,08-03-2024,UPI,Yes,No,6306,57,4,2,4.9,Not Completed,0,0,2,1,1,0,4,5
21283,STU121283,Ananya Bose,Female,32,Bachelor,Employed,Surat,Laptop,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,4,55,69.3,4,3.9,3,4,8.3,5,5,3,88.7,68.0,57.7,1,08-09-2025,Debit Card,Yes,No,5473,46,1,1,5.0,Completed,0,0,0,0,2,2,4,1
21284,STU121284,Ritika Bose,Male,23,Diploma,Student,Mumbai,Mobile,High,C101,Python Basics,Programming,Beginner,45,4.6,2,24,55.2,5,0.5,8,10,4.1,6,4,2,75.5,61.5,58.4,6,15-09-2024,Credit Card,Yes,No,3912,49,1,0,5.0,Not Completed,1,1,2,1,0,1,4,0
21285,STU121285,Kavya Mehta,Male,19,Bachelor,Employed,Jaipur,Mobile,Medium,C105,UI/UX Design Fundamentals,Design,Beginner,40,4.4,4,22,92.6,5,0.5,3,9,7.3,6,4,2,65.4,60.3,71.4,4,06-05-2025,Scholarship,No,No,530,63,3,0,4.2,Not Completed,1,0,0,1,2,1,1,4
21286,STU121286,Sneha Gupta,Male,25,Bachelor,Employed,Jaipur,Mobile,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,5,28,44.2,5,5.2,3,9,6.8,2,8,3,56.8,68.2,30.9,3,16-02-2025,Scholarship,No,No,1507,100,1,1,3.8,Not Completed,1,0,0,1,0,2,4,4
21287,STU121287,Arjun Joshi,Male,20,Bachelor,Employed,Delhi,Tablet,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,4,40,76.8,2,0.5,12,8,9.1,6,4,8,76.2,36.1,64.7,3,17-04-2025,Free,No,Yes,0,45,2,1,2.3,Not Completed,1,0,0,2,0,0,4,2
21288,STU121288,Sakshi Mehta,Male,23,Master,Student,Chennai,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,7,42,72.2,2,8.4,0,7,8.8,5,5,4,71.3,49.9,57.8,0,03-02-2025,Scholarship,No,No,1322,53,3,2,4.3,Completed,1,3,2,1,2,2,4,4
21289,STU121289,Sai Gupta,Female,26,Bachelor,Unemployed,Indore,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,6,32,28.7,4,0.5,12,6,4.5,3,7,6,77.6,74.0,31.8,3,11-09-2024,UPI,Yes,No,3027,37,1,0,2.9,Not Completed,0,0,3,0,2,1,0,5
21290,STU121290,Sneha Bose,Male,22,Bachelor,Student,Delhi,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,24,94.9,5,0.5,1,6,8.1,7,2,4,93.8,84.2,79.4,3,17-05-2025,Credit Card,Yes,No,3138,60,1,0,3.9,Completed,1,0,2,1,2,1,0,0
21291,STU121291,Sneha Iyer,Female,34,Master,Employed,Hyderabad,Laptop,Low,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,15,55.8,3,0.5,7,2,5.8,3,7,6,57.9,67.3,40.9,1,30-07-2024,UPI,Yes,No,5233,61,1,0,4.0,Completed,0,3,0,0,1,2,4,5
21292,STU121292,Sneha Singh,Female,24,Master,Student,Ahmedabad,Mobile,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,5,28,52.2,3,0.5,2,6,8.3,4,6,2,62.1,77.3,46.1,3,16-05-2024,Debit Card,Yes,No,5713,58,2,2,3.1,Not Completed,0,3,2,1,0,2,4,1
21293,STU121293,Ritika Nair,Female,33,Diploma,Student,Hyderabad,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,34,74.2,2,13.0,2,2,3.0,5,5,6,78.8,91.8,60.6,1,12-08-2024,UPI,Yes,No,4867,63,1,1,5.0,Completed,0,1,2,0,0,2,4,5
21294,STU121294,Isha Shah,Female,36,Bachelor,Student,Delhi,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,7,41,31.8,3,2.9,0,9,6.5,9,1,5,79.0,75.2,68.9,1,06-01-2024,Credit Card,Yes,No,4404,67,0,0,5.0,Completed,0,0,2,1,2,1,4,0
21295,STU121295,Vivaan Nair,Male,26,Bachelor,Student,Hyderabad,Laptop,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,10,44,93.0,2,6.2,2,5,7.9,6,4,5,67.5,64.4,71.8,2,01-02-2025,Free,No,No,0,55,3,1,3.6,Not Completed,1,0,2,0,1,2,4,2
21296,STU121296,Nikhil Nair,Female,17,Diploma,Employed,Indore,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,23,48.5,2,5.3,18,6,5.1,5,5,4,62.5,59.5,50.0,2,09-04-2024,UPI,Yes,No,4918,47,2,2,4.6,Completed,0,1,0,1,2,2,4,5
