,Student_ID,Name,Gender,Age,Education_Level,Employment_Status,City,Device_Type,Internet_Connection_Quality,Course_ID,Course_Name,Category,Course_Level,Course_Duration_Days,Instructor_Rating,Login_Frequency,Average_Session_Duration_Min,Video_Completion_Rate,Discussion_Participation,Time_Spent_Hours,Days_Since_Last_Login,Notifications_Checked,Peer_Interaction_Score,Assignments_Submitted,Assignments_Missed,Quiz_Attempts,Quiz_Score_Avg,Project_Grade,Progress_Percentage,Rewatch_Count,Enrollment_Date,Payment_Mode,Fee_Paid,Discount_Used,Payment_Amount,App_Usage_Percentage,Reminder_Emails_Clicked,Support_Tickets_Raised,Satisfaction_Rating,Completed,Gender_Encoded,Education_Encoded,Employment_Encoded,Device_Encoded,Internet_Encoded,Level_Encoded,Category_Encoded,Payment_Encoded
45071,STU145071,Rahul Desai,Female,17,Master,Student,Kolkata,Mobile,High,C101,Python Basics,Programming,Beginner,45,4.6,5,40,72.2,4,1.0,0,2,4.6,4,6,4,63.5,72.8,52.9,0,25-05-2025,NetBanking,Yes,No,4343,52,2,1,3.7,Completed,0,3,2,1,0,1,4,3
45072,STU145072,Krishna Bose,Male,28,PhD,Employed,Pune,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,4,36,87.3,1,0.5,2,5,9.0,4,6,3,83.9,66.3,57.9,2,21-05-2024,NetBanking,Yes,No,4108,44,2,1,3.8,Not Completed,1,4,0,1,2,1,4,3
45073,STU145073,Aditya Sharma,Female,21,Bachelor,Employed,Mumbai,Tablet,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,6,35,90.5,3,5.5,9,2,7.7,5,5,1,58.0,86.3,66.0,3,06-10-2025,Credit Card,Yes,Yes,4844,100,0,2,4.2,Not Completed,0,0,0,2,1,2,4,0
45074,STU145074,Arjun Gupta,Female,24,Bachelor,Student,Nagpur,Mobile,Medium,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,53,78.9,6,8.0,12,7,7.0,8,2,3,65.5,89.4,80.1,7,18-01-2024,UPI,Yes,No,5100,46,2,3,5.0,Not Completed,0,0,2,1,2,2,4,5
45075,STU145075,Ananya Patel,Female,23,Bachelor,Student,Vadodara,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,4,33,74.6,4,2.1,6,5,8.5,6,4,2,57.1,59.2,65.1,2,12-07-2025,Credit Card,Yes,No,4823,85,2,0,4.0,Not Completed,0,0,2,0,0,2,4,0
45076,STU145076,Aarav Joshi,Male,17,Master,Student,Hyderabad,Tablet,Low,C103,Introduction to AI,Programming,Intermediate,75,4.5,5,15,12.4,2,4.5,4,11,7.2,5,5,6,50.4,83.4,38.5,2,23-10-2024,UPI,Yes,Yes,5217,72,2,1,3.4,Not Completed,1,3,2,2,1,2,4,5
45077,STU145077,Pooja Kumar,Female,23,Bachelor,Student,Ahmedabad,Laptop,Medium,C108,Excel for Business,Business,Beginner,25,4.1,4,45,86.3,1,2.4,6,7,9.5,6,4,3,73.7,73.0,69.9,0,10-05-2025,UPI,Yes,No,3450,67,0,2,4.2,Completed,0,0,2,0,2,1,0,5
45078,STU145078,Arjun Bhardwaj,Female,18,HighSchool,Employed,Surat,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,41,42.1,0,0.5,0,6,10.0,5,5,7,63.6,69.6,48.2,0,06-06-2025,Free,No,Yes,0,100,3,0,3.2,Completed,0,2,0,0,0,2,4,2
45079,STU145079,Rohan Joshi,Female,17,PhD,Employed,Mumbai,Laptop,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,5,37,70.0,2,2.3,0,2,3.0,5,5,5,94.2,44.9,56.7,0,19-12-2023,Credit Card,Yes,Yes,5980,73,1,1,3.7,Completed,0,4,0,0,0,0,4,0
45080,STU145080,Neha Sharma,Male,30,HighSchool,Student,Vadodara,Mobile,Medium,C101,Python Basics,Programming,Beginner,45,4.6,3,34,52.6,3,0.5,1,5,1.2,6,4,4,77.1,70.5,57.9,2,24-05-2024,UPI,Yes,No,3925,82,3,0,3.2,Completed,1,2,2,1,2,1,4,5
45081,STU145081,Neha Bhardwaj,Male,29,Bachelor,Unemployed,Surat,Mobile,High,C103,Introduction to AI,Programming,Intermediate,75,4.5,5,32,71.6,1,7.2,15,4,5.6,6,4,3,88.7,47.0,63.4,4,25-03-2025,Scholarship,No,No,1519,48,2,0,4.8,Completed,1,0,3,1,0,2,4,4
45082,STU145082,Arjun Sharma,Female,39,Bachelor,Employed,Bhopal,Mobile,Medium,C108,Excel for Business,Business,Beginner,25,4.1,8,20,92.7,6,3.3,10,3,7.8,2,8,3,66.2,68.4,47.8,4,20-11-2024,NetBanking,Yes,No,3112,77,0,3,5.0,Completed,0,0,0,1,2,1,0,3
45083,STU145083,Sakshi Gupta,Female,23,Bachelor,Student,Bhopal,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,6,49,87.0,4,3.5,3,5,6.9,4,6,4,80.2,70.5,58.0,3,25-02-2024,Credit Card,Yes,No,5045,91,3,1,5.0,Completed,0,0,2,0,0,2,4,0
45084,STU145084,Meera Gupta,Female,27,Master,Student,Nagpur,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,33,67.5,2,15.0,3,1,7.2,6,4,3,74.8,79.7,63.6,1,26-01-2024,UPI,Yes,No,3189,64,0,0,3.3,Completed,0,3,2,1,2,1,2,5
45085,STU145085,Arjun Gupta,Male,28,Bachelor,Student,Chennai,Mobile,Medium,C104,Digital Marketing Essentials,Marketing,Beginner,30,4.3,6,19,50.3,1,0.5,7,7,4.3,5,5,9,77.8,44.7,49.8,4,18-03-2024,UPI,Yes,No,3454,39,3,0,2.7,Not Completed,1,0,2,1,2,1,2,5
45086,STU145086,Sakshi Nair,Male,23,Bachelor,Employed,Surat,Laptop,Medium,C103,Introduction to AI,Programming,Intermediate,75,4.5,2,42,79.3,3,1.8,9,6,6.5,5,5,1,74.1,91.4,62.3,0,28-05-2024,UPI,Yes,No,5560,61,1,2,4.4,Not Completed,1,0,0,0,2,2,4,5
45087,STU145087,Arjun Bose,Female,34,HighSchool,Employed,Ahmedabad,Laptop,High,C106,Machine Learning A-Z,Programming,Advanced,90,4.6,5,45,66.3,1,0.5,0,4,2.8,5,5,7,79.9,84.6,57.4,2,21-02-2025,UPI,Yes,No,6890,32,0,2,4.2,Completed,0,2,0,0,0,0,4,5
45088,STU145088,Rohan Reddy,Other,31,Bachelor,Student,Surat,Laptop,High,C102,Data Analysis with Python,Programming,Intermediate,60,4.7,3,39,76.3,0,5.1,8,2,6.6,5,4,2,90.1,75.9,60.5,4,19-12-2023,Scholarship,No,No,691,67,3,1,4.7,Not Completed,2,0,2,0,0,2,4,4
